weekday,hour,Probability
Saturday,10,0.021021021021021023
Saturday,7,0.018018018018018018
Saturday,8,0.018018018018018018
Saturday,17,0.018018018018018018
Tuesday,13,0.018018018018018018
Monday,16,0.015015015015015015
Saturday,6,0.015015015015015015
Saturday,9,0.015015015015015015
Saturday,11,0.015015015015015015
Saturday,12,0.015015015015015015
Saturday,14,0.015015015015015015
Saturday,16,0.015015015015015015
Saturday,19,0.015015015015015015
Saturday,21,0.015015015015015015
Friday,9,0.012012012012012012
Monday,9,0.012012012012012012
Monday,11,0.012012012012012012
Saturday,1,0.012012012012012012
Saturday,2,0.012012012012012012
Saturday,4,0.012012012012012012
Saturday,13,0.012012012012012012
Saturday,15,0.012012012012012012
Saturday,20,0.012012012012012012
Saturday,22,0.012012012012012012
Thursday,13,0.012012012012012012
Tuesday,9,0.012012012012012012
Tuesday,11,0.012012012012012012
Wednesday,16,0.012012012012012012
Friday,8,0.009009009009009009
Friday,15,0.009009009009009009
Friday,17,0.009009009009009009
Friday,22,0.009009009009009009
Monday,8,0.009009009009009009
Monday,15,0.009009009009009009
Monday,17,0.009009009009009009
Monday,19,0.009009009009009009
Saturday,0,0.009009009009009009
Saturday,3,0.009009009009009009
Saturday,5,0.009009009009009009
Saturday,18,0.009009009009009009
Thursday,9,0.009009009009009009
Thursday,10,0.009009009009009009
Thursday,12,0.009009009009009009
Thursday,16,0.009009009009009009
Thursday,19,0.009009009009009009
Tuesday,5,0.009009009009009009
Tuesday,15,0.009009009009009009
Tuesday,17,0.009009009009009009
Tuesday,18,0.009009009009009009
Wednesday,9,0.009009009009009009
Friday,11,0.006006006006006006
Friday,12,0.006006006006006006
Friday,13,0.006006006006006006
Friday,14,0.006006006006006006
Friday,16,0.006006006006006006
Friday,18,0.006006006006006006
Friday,20,0.006006006006006006
Friday,21,0.006006006006006006
Friday,23,0.006006006006006006
Monday,10,0.006006006006006006
Monday,13,0.006006006006006006
Monday,14,0.006006006006006006
Sunday,0,0.006006006006006006
Sunday,5,0.006006006006006006
Sunday,6,0.006006006006006006
Sunday,19,0.006006006006006006
Sunday,20,0.006006006006006006
Sunday,21,0.006006006006006006
Sunday,22,0.006006006006006006
Thursday,7,0.006006006006006006
Thursday,8,0.006006006006006006
Thursday,11,0.006006006006006006
Thursday,15,0.006006006006006006
Thursday,21,0.006006006006006006
Tuesday,6,0.006006006006006006
Tuesday,7,0.006006006006006006
Tuesday,10,0.006006006006006006
Tuesday,12,0.006006006006006006
Tuesday,14,0.006006006006006006
Tuesday,16,0.006006006006006006
Tuesday,19,0.006006006006006006
Tuesday,20,0.006006006006006006
Wednesday,12,0.006006006006006006
Wednesday,13,0.006006006006006006
Wednesday,18,0.006006006006006006
Friday,0,0.003003003003003003
Friday,1,0.003003003003003003
Friday,2,0.003003003003003003
Friday,5,0.003003003003003003
Friday,6,0.003003003003003003
Friday,7,0.003003003003003003
Friday,10,0.003003003003003003
Friday,19,0.003003003003003003
Monday,0,0.003003003003003003
Monday,2,0.003003003003003003
Monday,3,0.003003003003003003
Monday,4,0.003003003003003003
Monday,5,0.003003003003003003
Monday,6,0.003003003003003003
Monday,7,0.003003003003003003
Monday,12,0.003003003003003003
Monday,18,0.003003003003003003
Monday,20,0.003003003003003003
Monday,22,0.003003003003003003
Monday,23,0.003003003003003003
Saturday,23,0.003003003003003003
Sunday,7,0.003003003003003003
Sunday,9,0.003003003003003003
Sunday,12,0.003003003003003003
Sunday,13,0.003003003003003003
Sunday,14,0.003003003003003003
Sunday,16,0.003003003003003003
Sunday,17,0.003003003003003003
Sunday,18,0.003003003003003003
Sunday,23,0.003003003003003003
Thursday,0,0.003003003003003003
Thursday,1,0.003003003003003003
Thursday,2,0.003003003003003003
Thursday,3,0.003003003003003003
Thursday,4,0.003003003003003003
Thursday,5,0.003003003003003003
Thursday,6,0.003003003003003003
Thursday,14,0.003003003003003003
Thursday,17,0.003003003003003003
Thursday,18,0.003003003003003003
Thursday,20,0.003003003003003003
Thursday,22,0.003003003003003003
Tuesday,0,0.003003003003003003
Tuesday,1,0.003003003003003003
Tuesday,3,0.003003003003003003
Tuesday,8,0.003003003003003003
Tuesday,21,0.003003003003003003
Tuesday,22,0.003003003003003003
Tuesday,23,0.003003003003003003
Wednesday,0,0.003003003003003003
Wednesday,1,0.003003003003003003
Wednesday,2,0.003003003003003003
Wednesday,4,0.003003003003003003
Wednesday,5,0.003003003003003003
Wednesday,6,0.003003003003003003
Wednesday,7,0.003003003003003003
Wednesday,8,0.003003003003003003
Wednesday,10,0.003003003003003003
Wednesday,11,0.003003003003003003
Wednesday,14,0.003003003003003003
Wednesday,15,0.003003003003003003
Wednesday,17,0.003003003003003003
Wednesday,19,0.003003003003003003
Wednesday,21,0.003003003003003003
Wednesday,23,0.003003003003003003
Friday,3,0.0
Friday,4,0.0
Monday,1,0.0
Monday,21,0.0
Sunday,1,0.0
Sunday,2,0.0
Sunday,3,0.0
Sunday,4,0.0
Sunday,8,0.0
Sunday,10,0.0
Sunday,11,0.0
Sunday,15,0.0
Thursday,23,0.0
Tuesday,2,0.0
Tuesday,4,0.0
Wednesday,3,0.0
Wednesday,20,0.0
Wednesday,22,0.0
